LocationAbbr,LocationDesc,YearStart,current_smoking_adults,diabetes_adults,high_blood_pressure_adults,high_cholesterol_screened_adults,lack_health_insurance_adults_18_64,no_leisure_physical_activity_adults,obesity_adults,routine_checkup_past_year_adults,diabetes_next_year,high_risk_diabetes_next_year,diabetes_high_risk_threshold,diabetes_previous_year,diabetes_change_from_previous_year
AK,Alaska,2019,17.6,7.2,50.0,25.6,11.7,21.6,30.7,70.3,7.4,0.0,10.95,,
AK,Alaska,2020,18.0,7.4,,,12.8,21.1,31.8,64.3,8.1,0.0,11.0,7.2,0.20000000000000018
AK,Alaska,2021,17.2,8.1,47.2,28.4,10.8,20.0,33.4,63.3,8.5,0.0,11.3,7.4,0.6999999999999993
AL,Alabama,2019,21.3,12.4,60.1,32.1,18.0,30.8,36.3,76.8,13.1,1.0,10.95,,
AL,Alabama,2020,19.5,13.1,,,17.9,27.8,39.3,74.7,13.5,1.0,11.0,12.4,0.6999999999999993
AL,Alabama,2021,17.9,13.5,60.0,33.8,13.4,29.9,40.6,76.2,13.6,1.0,11.3,13.1,0.40000000000000036
AR,Arkansas,2019,21.2,12.3,58.1,32.3,17.2,30.4,38.0,77.9,11.9,1.0,10.95,,
AR,Arkansas,2020,21.6,11.9,,,15.1,28.8,37.2,74.4,11.0,1.0,11.0,12.3,-0.40000000000000036
AR,Arkansas,2021,21.9,11.0,57.2,31.8,11.1,29.5,39.3,75.7,14.1,1.0,11.3,11.9,-0.9000000000000004
AZ,Arizona,2019,15.5,9.9,48.0,29.8,19.0,23.6,31.9,71.6,9.9,0.0,10.95,,
AZ,Arizona,2020,13.7,9.9,,,18.7,21.6,31.5,70.6,9.8,0.0,11.0,9.9,0.0
AZ,Arizona,2021,13.5,9.8,45.2,30.8,12.9,22.1,31.8,68.6,11.4,1.0,11.3,9.9,-0.09999999999999964
CA,California,2019,10.2,9.5,43.8,27.7,15.2,22.3,26.2,71.0,9.3,0.0,10.95,,
CA,California,2020,9.0,9.3,,,13.0,21.1,30.2,64.9,10.9,0.0,11.0,9.5,-0.1999999999999993
CA,California,2021,8.8,10.9,43.7,31.0,10.3,19.9,27.8,63.0,10.7,0.0,11.3,9.3,1.5999999999999996
CO,Colorado,2019,13.7,6.6,40.5,26.6,15.2,18.7,23.6,68.0,7.1,0.0,10.95,,
CO,Colorado,2020,12.6,7.1,,,14.6,16.5,24.2,67.1,6.5,0.0,11.0,6.6,0.5
CO,Colorado,2021,12.1,6.5,40.8,28.3,12.1,16.5,25.1,66.7,7.6,0.0,11.3,7.1,-0.5999999999999996
CT,Connecticut,2019,12.6,8.3,45.8,30.4,10.6,23.3,29.1,78.9,8.3,0.0,10.95,,
CT,Connecticut,2020,12.6,8.3,,,11.6,20.2,29.5,76.5,9.4,0.0,11.0,8.3,0.0
CT,Connecticut,2021,11.5,9.4,45.3,30.9,7.6,22.3,30.6,75.4,9.2,0.0,11.3,8.3,1.0999999999999996
DC,District of Columbia,2019,12.8,9.5,50.7,28.6,8.6,19.3,24.4,79.5,8.4,0.0,10.95,,
DC,District of Columbia,2020,11.7,8.4,,,5.6,18.5,25.3,72.7,8.4,0.0,11.0,9.5,-1.0999999999999996
DC,District of Columbia,2021,9.5,8.4,49.6,30.5,3.5,16.4,25.2,73.5,8.8,0.0,11.3,8.4,0.0
DE,Delaware,2019,16.5,11.0,51.8,30.0,13.5,25.3,34.2,80.4,10.6,0.0,10.95,,
DE,Delaware,2020,15.8,10.6,,,13.3,23.6,36.2,75.2,10.0,0.0,11.0,11.0,-0.40000000000000036
DE,Delaware,2021,14.3,10.0,49.6,32.2,10.1,26.2,33.8,74.8,11.9,1.0,11.3,10.6,-0.5999999999999996
FL,Florida,2019,15.4,9.5,47.5,28.2,21.3,25.9,26.3,75.8,9.6,0.0,10.95,,
FL,Florida,2020,15.5,9.6,,,23.2,25.8,28.3,74.1,9.6,0.0,11.0,9.5,0.09999999999999964
GA,Georgia,2019,16.7,11.3,54.4,29.2,23.1,27.4,33.4,75.5,10.8,0.0,10.95,,
GA,Georgia,2020,16.3,10.8,,,22.4,24.5,34.3,74.6,11.5,1.0,11.0,11.3,-0.5
GA,Georgia,2021,15.6,11.5,56.5,33.1,17.3,23.1,34.2,75.3,11.0,0.0,11.3,10.8,0.6999999999999993
HI,Hawaii,2019,12.9,9.3,44.9,26.0,8.8,23.9,25.5,79.1,9.5,0.0,10.95,,
HI,Hawaii,2020,12.2,9.5,,,8.2,18.4,25.0,78.8,8.1,0.0,11.0,9.3,0.1999999999999993
HI,Hawaii,2021,10.4,8.1,43.1,29.7,3.5,19.3,25.9,72.8,10.4,0.0,11.3,9.5,-1.4000000000000004
IA,Iowa,2019,17.3,9.1,46.5,27.7,9.8,26.1,34.3,77.0,9.1,0.0,10.95,,
IA,Iowa,2020,16.8,9.1,,,9.6,22.7,37.2,74.4,8.7,0.0,11.0,9.1,0.0
IA,Iowa,2021,15.5,8.7,45.1,28.9,7.5,23.8,36.9,73.9,10.3,0.0,11.3,9.1,-0.40000000000000036
ID,Idaho,2019,16.0,9.3,45.6,27.1,20.8,23.3,29.5,69.3,8.0,0.0,10.95,,
ID,Idaho,2020,14.2,8.0,,,17.4,19.7,31.3,70.1,8.8,0.0,11.0,9.3,-1.3000000000000007
ID,Idaho,2021,13.8,8.8,45.0,28.2,9.7,20.0,32.1,72.9,8.9,0.0,11.3,8.0,0.8000000000000007
IL,Illinois,2019,14.8,10.1,50.0,27.5,16.0,25.1,31.5,75.3,9.4,0.0,10.95,,
IL,Illinois,2020,12.8,9.4,,,11.4,24.4,32.5,77.1,9.7,0.0,11.0,10.1,-0.6999999999999993
IL,Illinois,2021,12.6,9.7,46.1,27.9,7.9,26.4,34.3,77.8,10.8,0.0,11.3,9.4,0.29999999999999893
IN,Indiana,2019,20.0,11.3,51.9,29.0,13.6,30.6,35.4,75.5,10.7,0.0,10.95,,
IN,Indiana,2020,20.2,10.7,,,14.2,25.6,37.2,74.2,11.0,1.0,11.0,11.3,-0.6000000000000014
IN,Indiana,2021,18.0,11.0,51.5,30.3,9.3,25.1,36.7,74.0,11.3,1.0,11.3,10.7,0.3000000000000007
KS,Kansas,2019,16.9,9.9,49.6,30.3,15.5,26.7,35.6,74.0,10.1,0.0,10.95,,
KS,Kansas,2020,17.2,10.1,,,14.9,21.4,35.8,72.8,10.1,0.0,11.0,9.9,0.1999999999999993
KS,Kansas,2021,16.4,10.1,50.8,33.2,11.3,22.8,36.7,73.5,10.2,0.0,11.3,10.1,0.0
KY,Kentucky,2019,24.4,11.8,57.3,32.9,10.4,31.6,36.4,79.2,11.6,1.0,10.95,,
KY,Kentucky,2020,22.2,11.6,,,10.3,29.3,37.0,74.2,12.5,1.0,11.0,11.8,-0.20000000000000107
KY,Kentucky,2021,20.4,12.5,55.2,32.4,5.7,29.5,40.6,74.7,13.0,1.0,11.3,11.6,0.9000000000000004
LA,Louisiana,2019,22.6,11.5,58.6,33.5,14.5,31.5,36.2,79.9,12.9,1.0,10.95,,
