,missing_count,missing_percent
StratificationID3,309215,100.0
StratificationCategoryID3,309215,100.0
StratificationID2,309215,100.0
StratificationCategoryID2,309215,100.0
Stratification3,309215,100.0
StratificationCategory3,309215,100.0
Response,309215,100.0
Stratification2,309215,100.0
ResponseID,309215,100.0
StratificationCategory2,309215,100.0
DataValueFootnoteSymbol,207499,67.11
DataValueFootnote,207499,67.11
LowConfidenceLimit,120330,38.91
HighConfidenceLimit,120325,38.91
DataValueAlt,100019,32.35
DataValue,100019,32.35
Geolocation,5763,1.86
LocationID,0,0.0
QuestionID,0,0.0
TopicID,0,0.0
DataValueTypeID,0,0.0
StratificationCategoryID1,0,0.0
StratificationID1,0,0.0
YearStart,0,0.0
YearEnd,0,0.0
StratificationCategory1,0,0.0
DataValueType,0,0.0
DataValueUnit,0,0.0
Question,0,0.0
Topic,0,0.0
DataSource,0,0.0
LocationDesc,0,0.0
LocationAbbr,0,0.0
Stratification1,0,0.0
