feature,coefficient,absolute_coefficient
GenHlth,0.6188295300979412,0.6188295300979412
BMI,0.49058474445642153,0.49058474445642153
Age,0.4574284210235104,0.4574284210235104
HighBP,0.3642574389101406,0.3642574389101406
HighChol,0.28726517922429284,0.28726517922429284
CholCheck,0.24770172696442685,0.24770172696442685
HvyAlcoholConsump,-0.17295033092901968,0.17295033092901968
Sex,0.1391679015948344,0.1391679015948344
Income,-0.11933608514638311,0.11933608514638311
HeartDiseaseorAttack,0.07304769345025316,0.07304769345025316
PhysHlth,-0.058373895852543094,0.058373895852543094
Education,-0.03737905268689097,0.03737905268689097
DiffWalk,0.03737094553641361,0.03737094553641361
Stroke,0.037237646307982465,0.037237646307982465
Fruits,-0.03483641237907653,0.03483641237907653
MentHlth,-0.03229425585435085,0.03229425585435085
PhysActivity,-0.019448941285367782,0.019448941285367782
AnyHealthcare,0.013939764733006711,0.013939764733006711
NoDocbcCost,0.013419798768483416,0.013419798768483416
Veggies,-0.0072968791037387876,0.0072968791037387876
Smoker,0.0021476846076568874,0.0021476846076568874
