YearStart,YearEnd,LocationAbbr,LocationDesc,Topic,Question,feature_name,DataValueType,DataValue,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1
2019,2019,AK,Alaska,Tobacco,Current cigarette smoking among adults,current_smoking_adults,Age-adjusted Prevalence,17.6,15.4,20.0,Overall,Overall
2019,2019,AK,Alaska,Diabetes,Diabetes among adults,diabetes_adults,Age-adjusted Prevalence,7.2,6.1,8.5,Overall,Overall
2019,2019,AK,Alaska,Cardiovascular Disease,High blood pressure among adults,high_blood_pressure_adults,Age-adjusted Prevalence,50.0,46.7,53.4,Overall,Overall
2019,2019,AK,Alaska,Cardiovascular Disease,High cholesterol among adults who have been screened,high_cholesterol_screened_adults,Age-adjusted Prevalence,25.6,23.4,27.8,Overall,Overall
2019,2019,AK,Alaska,Social Determinants of Health,Lack of health insurance among adults aged 18-64 years,lack_health_insurance_adults_18_64,Age-adjusted Prevalence,11.7,9.7,14.1,Overall,Overall
2019,2019,AK,Alaska,"Nutrition, Physical Activity, and Weight Status",No leisure-time physical activity among adults,no_leisure_physical_activity_adults,Age-adjusted Prevalence,21.6,19.2,24.2,Overall,Overall
2019,2019,AK,Alaska,"Nutrition, Physical Activity, and Weight Status",Obesity among adults,obesity_adults,Age-adjusted Prevalence,30.7,28.0,33.6,Overall,Overall
2019,2019,AK,Alaska,Social Determinants of Health,Routine checkup within the past year among adults,routine_checkup_past_year_adults,Age-adjusted Prevalence,70.3,67.5,72.9,Overall,Overall
2020,2020,AK,Alaska,Tobacco,Current cigarette smoking among adults,current_smoking_adults,Age-adjusted Prevalence,18.0,16.1,20.0,Overall,Overall
2020,2020,AK,Alaska,Diabetes,Diabetes among adults,diabetes_adults,Age-adjusted Prevalence,7.4,6.4,8.6,Overall,Overall
2020,2020,AK,Alaska,Social Determinants of Health,Lack of health insurance among adults aged 18-64 years,lack_health_insurance_adults_18_64,Age-adjusted Prevalence,12.8,11.0,14.8,Overall,Overall
2020,2020,AK,Alaska,"Nutrition, Physical Activity, and Weight Status",No leisure-time physical activity among adults,no_leisure_physical_activity_adults,Age-adjusted Prevalence,21.1,19.1,23.3,Overall,Overall
